datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20160524_163753,775.279602,-96.417183,757.442444,-149.143463,17.837158,52.726280,9.669522,0.396148,0.692975,-40.905200,-9.307570
20160524_170336,776.395020,-96.518639,760.149109,-149.244736,16.245911,52.726097,9.669571,0.396197,0.710833,-41.403000,-8.976820
20160524_182705,784.916016,-97.414383,767.333008,-149.175323,17.583008,51.760941,9.669730,0.396355,0.768808,-45.781300,-7.407470
20160524_195005,791.963074,-96.122635,774.323975,-149.909103,17.639099,53.786469,9.669888,0.396513,0.826447,-43.307100,-9.197170
20160524_201555,792.761414,-96.073586,776.487000,-150.017487,16.274414,53.943901,9.669937,0.396562,0.844387,-45.287300,-7.818680
20160524_212805,798.893311,-95.934959,782.435059,-150.305725,16.458252,54.370766,9.670074,0.396700,0.894502,-43.555000,-8.800960
20160525_160420,878.076355,-102.586960,860.532043,-154.322754,17.544312,51.735794,9.672196,0.398822,0.669676,-43.307100,-10.935900
20160525_171404,882.055420,-101.697594,864.471436,-154.590073,17.583984,52.892479,9.672329,0.398954,0.718102,-40.490100,-8.888850
20160525_202804,891.604187,-101.171227,875.016418,-155.771301,16.587769,54.600075,9.672698,0.399323,0.852824,-41.651700,-10.218300
20160525_205354,893.214355,-100.193657,876.291016,-155.869232,16.923340,55.675575,9.672747,0.399372,0.870764,-41.734600,-9.307570
20160526_161057,500.223999,270.474304,486.739990,218.354660,13.484009,52.119644,9.674947,0.401572,0.674271,-41.320000,-9.817280
20160526_163637,504.176514,270.048950,490.631500,218.265610,13.545013,51.783340,9.674995,0.401621,0.692095,-41.651700,-9.528800
20160526_181605,518.746887,269.905426,503.184540,217.965225,15.562347,51.940201,9.675185,0.401810,0.761169,-41.817400,-9.595290
20160526_192506,527.575195,271.002136,511.836517,217.750336,15.738678,53.251801,9.675316,0.401941,0.809097,-43.059100,-9.064900
20160526_195054,529.404846,270.491302,515.003479,217.663254,14.401367,52.828049,9.675365,0.401990,0.827014,-42.066000,-8.537840
20160526_210206,538.197571,270.892670,523.925476,217.444641,14.272095,53.448029,9.675500,0.402126,0.876458,-42.728200,-9.241330
20160526_212755,541.668152,269.921722,527.015564,217.361053,14.652588,52.560669,9.675549,0.402175,0.894387,-41.817400,-8.319260
20160527_164557,672.461975,268.384186,658.743958,213.611313,13.718018,54.772873,9.677751,0.404377,0.698576,-41.900300,-10.151400
20160527_171136,674.008301,268.992493,662.198486,213.522110,11.809814,55.470383,9.677800,0.404425,0.716389,-42.480000,-9.706210
20160527_183505,685.531067,267.825043,670.888977,213.256470,14.642090,54.568573,9.677959,0.404584,0.774363,-40.407000,-8.450340
20160527_190055,674.674377,268.606506,660.111084,213.191422,14.563293,55.415085,9.678008,0.404633,0.792303,-45.122600,-10.173700
20160527_200115,692.111328,268.131531,678.334961,212.966766,13.776367,55.164764,9.678122,0.404748,0.834201,-42.811000,-8.779000
20160527_202635,696.873962,268.281799,682.244568,212.335541,14.629395,55.946259,9.678171,0.404796,0.851794,-41.900300,-8.210180
20160527_213605,700.757996,268.757904,687.058044,212.661636,13.699951,56.096268,9.678303,0.404928,0.900058,-43.389700,-9.153050
20160528_103658,755.742676,245.036438,742.501953,184.840164,13.240723,60.196274,9.679787,0.406413,0.442338,-46.357100,-10.778500
20160528_110133,761.510437,243.918228,747.596436,184.290329,13.914001,59.627899,9.679834,0.406460,0.459410,-39.991500,-7.992450
20160528_121436,767.594727,242.139847,754.085022,184.046219,13.509705,58.093628,9.679973,0.406599,0.510139,-45.369700,-11.003500
20160528_124025,771.038147,240.933701,756.402527,184.425949,14.635620,56.507751,9.680022,0.406648,0.528067,-40.573100,-7.731960
20160528_135235,777.134766,242.347702,762.697998,183.728668,14.436768,58.619034,9.680159,0.406785,0.578183,-45.616700,-10.800900
20160528_160406,788.711731,236.461014,773.937500,183.752640,14.774231,52.708374,9.680409,0.407035,0.669514,-40.739200,-9.086910
20160528_171505,790.857178,242.144760,776.486023,183.542831,14.371155,58.601929,9.680544,0.407170,0.718808,-43.141800,-9.973030
20160528_173932,783.899231,242.312851,770.806458,182.899536,13.092773,59.413315,9.680591,0.407216,0.735787,-40.573100,-8.123020
20160528_185920,802.564453,238.723267,788.267090,183.182175,14.297363,55.541092,9.680743,0.407368,0.791204,-49.390900,-8.888850
20160528_192510,804.354065,238.282593,790.391052,183.096039,13.963013,55.186554,9.680792,0.407417,0.809144,-42.811000,-8.647390
